Index	Label
0	t_shirt
1	trouser
2	pullover
3	pullover
4	dress
5	pullover
6	bag
7	shirt
8	sandal
9	t_shirt
10	dress
11	coat
12	coat
13	shirt
14	bag
15	sandal
16	shirt
17	dress
18	shirt
19	coat
20	coat
21	coat
22	pullover
23	trouser
24	sandal
25	sneaker
26	bag
27	coat
28	coat
29	trouser
30	sandal
31	sneaker
32	sneaker
33	bag
34	trouser
35	t_shirt
36	ankle_boot
37	bag
38	t_shirt
39	bag
40	pullover
41	t_shirt
42	coat
43	shirt
44	pullover
45	t_shirt
46	dress
47	dress
48	pullover
49	dress
50	pullover
51	pullover
52	ankle_boot
53	dress
54	t_shirt
55	ankle_boot
56	ankle_boot
57	coat
58	shirt
59	t_shirt
60	coat
61	sandal
62	coat
63	shirt
64	trouser
65	trouser
66	t_shirt
67	ankle_boot
68	sandal
69	pullover
70	sneaker
71	dress
72	coat
73	shirt
74	sandal
75	sneaker
76	trouser
77	shirt
78	trouser
79	coat
80	ankle_boot
81	bag
82	trouser
83	pullover
84	coat
85	bag
86	ankle_boot
87	coat
88	trouser
89	shirt
90	dress
91	coat
92	pullover
93	pullover
94	pullover
95	shirt
96	coat
97	sneaker
98	sneaker
99	dress
100	ankle_boot
101	dress
102	ankle_boot
103	t_shirt
104	bag
105	pullover
106	dress
107	bag
108	pullover
109	sneaker
110	sandal
111	sandal
112	dress
113	pullover
114	sneaker
115	sandal
116	t_shirt
117	pullover
118	sneaker
119	trouser
120	t_shirt
121	sandal
122	coat
123	coat
124	sneaker
125	t_shirt
126	bag
127	sandal
128	t_shirt
129	dress
130	trouser
131	sneaker
132	ankle_boot
133	coat
134	ankle_boot
135	shirt
136	coat
137	coat
138	pullover
139	coat
140	dress
141	dress
142	dress
143	pullover
144	pullover
145	shirt
146	t_shirt
147	t_shirt
148	trouser
149	dress
150	coat
151	dress
152	dress
153	trouser
154	ankle_boot
155	dress
156	dress
157	dress
158	ankle_boot
159	sandal
160	shirt
161	sneaker
162	sneaker
163	dress
164	pullover
165	coat
166	t_shirt
167	bag
168	sneaker
169	pullover
170	pullover
171	bag
172	ankle_boot
173	t_shirt
174	pullover
175	coat
176	coat
177	sandal
178	sneaker
179	ankle_boot
180	ankle_boot
181	trouser
182	dress
183	ankle_boot
184	trouser
185	sandal
186	sandal
187	shirt
188	t_shirt
189	sneaker
190	coat
191	ankle_boot
192	trouser
193	shirt
194	t_shirt
195	t_shirt
196	t_shirt
197	coat
198	t_shirt
199	ankle_boot
200	t_shirt
201	coat
202	pullover
203	sandal
204	sandal
205	bag
206	shirt
207	pullover
208	trouser
209	ankle_boot
210	t_shirt
211	coat
212	sneaker
213	trouser
214	ankle_boot
215	sandal
216	ankle_boot
217	t_shirt
218	pullover
219	bag
220	sandal
221	sneaker
222	sneaker
223	dress
224	pullover
225	coat
226	sandal
227	sneaker
228	bag
229	trouser
230	ankle_boot
231	sandal
232	shirt
233	pullover
234	ankle_boot
235	sneaker
236	coat
237	t_shirt
238	ankle_boot
239	pullover
240	trouser
241	sandal
242	sneaker
